baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ILMN_2404407,1763.50218295016,-0.0633257227766105,0.191221911653967,-0.331163527384896,0.740520968212514,0.943769714429405
ILMN_1766054,9330.6468698186,0.0581467950151007,0.0905068386309553,0.642457474978175,0.52057619196361,0.872587401079253
ILMN_1753388,608.948382671902,-0.0737417698865109,0.208877042452323,-0.353039132595641,0.724059103432872,0.93908830558028
ILMN_2070570,113.306554316373,0.298443804615997,0.142553990526497,2.09354928272263,0.0363001495418259,0.392776977197134
ILMN_2232084,118.330826619876,0.0398569122666272,0.16379514223025,0.243333909198598,0.807746737917765,0.959222440731438
ILMN_1750250,70.7135882999241,-0.13560051102996,0.163903947380319,-0.827316932857725,0.408057448752,0.821183826628434
ILMN_2361400,78.3570384516764,0.140276073912405,0.151108508420548,0.928313536932049,0.353244954152694,0.791011282730673
ILMN_1704579,76.6823400472845,0.158345875772677,0.214003167162516,0.739923048206234,0.459346688358192,0.848347565344343
ILMN_1687636,216.73158154192,0.866674030801712,0.314157698438576,2.75872288060821,0.00580277197372082,0.180198765615218
ILMN_1747627,822.163451539844,0.118164948095809,0.223427986569861,0.528872635473809,0.596893805970175,0.901104095331112
ILMN_1758523,3464.32780630611,0.0138604406346533,0.122006779400488,0.113603856300119,0.909551830259932,0.982509089336507
ILMN_1794965,772.146970974306,0.0376701359457166,0.247096291492329,0.152451239628928,0.878831045953509,0.976940124958565
ILMN_1722286,606.051738869018,0.293201873163316,0.342113108955948,0.857031974185678,0.391427214073735,0.813797855389233
ILMN_1784176,445.544276399188,0.352622984477804,0.200345449122311,1.76007484084416,0.0783951179417776,0.507133754329328
ILMN_1749001,116.165351171957,0.0862696532099516,0.157974945373474,0.546097059923004,0.584999220682194,0.897300468967425
ILMN_1701551,601.189932442211,0.571296558109637,0.281315505686888,2.03080365838599,0.0422749157843218,0.414799666331336
ILMN_1795507,707.671980868411,0.367714128946827,0.309575216965728,1.18780221669855,0.234911340876112,0.70482999294429
